L,cols,rows,nHoles,sPos,P,k,nWalls,E,nWps,seed,D,T
1,3,3,0,corner,0,0,0,0,0,1001,3.00,6.3
2,4,4,1,corner,0,1,0,0,0,1002,6.10,11.8
3,4,5,1,corner,0,1,0,0,0,1003,7.43,14.6
4,4,4,1,edge,1,10,0,0,0,1004,10.00,16.5
5,4,5,1,edge,1,10,0,0,0,1005,11.33,19.3
6,4,5,2,edge,1,10,0,0,0,1006,12.00,19.8
7,5,5,2,edge,1,10,0,0,0,1007,13.67,23.3
8,5,5,3,edge,1,10,0,0,0,1008,14.33,23.8
9,5,5,3,inner,1,10,0,0,0,1009,16.33,26.2
10,5,5,4,inner,1,10,0,0,0,1010,17.00,26.7
11,5,5,2,edge,1,10,0,0,0,1011,13.67,23.3
12,5,5,3,edge,1,10,0,0,0,1012,14.33,23.8
13,5,6,2,edge,1,10,0,0,0,1013,15.33,26.8
14,5,6,3,edge,1,10,0,0,0,1014,16.00,27.3
15,5,6,4,edge,1,10,0,0,0,1015,16.67,27.8
16,5,6,2,inner,1,10,0,0,0,1016,17.33,29.2
17,5,6,3,inner,1,10,0,0,0,1017,18.00,29.7
18,5,6,4,inner,1,10,0,0,0,1018,18.67,30.2
19,5,6,5,inner,1,10,0,0,0,1019,19.33,30.7
20,5,6,6,inner,1,10,0,0,0,1020,20.00,31.2
21,5,6,3,edge,1,10,0,0,0,1021,16.00,27.3
22,6,6,2,edge,1,10,0,0,0,1022,17.33,31.0
23,6,6,3,edge,1,10,0,0,0,1023,18.00,31.5
24,6,6,3,inner,1,10,0,0,0,1024,20.00,33.9
25,6,6,4,inner,1,10,0,0,0,1025,20.67,34.4
26,6,6,5,inner,1,10,0,0,0,1026,21.33,34.9
27,6,6,6,inner,1,10,0,0,0,1027,22.00,35.4
28,6,6,7,inner,1,10,0,0,0,1028,22.67,35.9
29,6,6,8,inner,1,10,0,0,0,1029,23.33,36.4
30,6,6,9,inner,1,10,0,0,0,1030,24.00,36.9
31,6,6,3,edge,1,10,2,0,0,1031,20.00,33.9
32,6,6,3,edge,1,10,2,0,0,1032,20.00,33.9
33,6,6,4,edge,1,10,2,0,0,1033,20.67,34.4
34,6,6,4,edge,1,10,2,0,0,1034,20.67,34.4
35,6,6,4,inner,1,10,3,0,0,1035,23.67,38.0
36,6,6,5,inner,1,10,3,0,0,1036,24.33,38.5
37,6,6,5,inner,1,10,3,0,0,1037,24.33,38.5
38,6,6,5,inner,1,10,4,0,0,1038,25.33,39.7
39,6,6,6,inner,1,10,4,0,0,1039,26.00,40.2
40,6,6,6,inner,1,10,4,0,0,1040,26.00,40.2
41,7,7,3,edge,1,10,2,0,0,1041,24.33,43.0
42,7,7,4,edge,1,10,2,0,0,1042,25.00,43.5
43,7,7,4,edge,1,10,3,0,0,1043,26.00,44.7
44,7,7,4,inner,1,10,3,0,0,1044,28.00,47.1
45,7,7,5,inner,1,10,3,0,0,1045,28.67,47.6
46,7,7,5,inner,1,10,4,0,0,1046,29.67,48.8
47,7,7,6,inner,1,10,4,0,0,1047,30.33,49.3
48,7,7,6,inner,1,10,5,0,0,1048,31.33,50.5
49,7,7,7,inner,1,10,5,0,0,1049,32.00,51.0
50,7,7,7,inner,1,10,6,0,0,1050,33.00,52.2
51,7,7,5,inner,1,10,4,0,0,1051,29.67,48.8
52,7,7,5,inner,1,10,5,0,0,1052,30.67,50.0
53,7,7,6,inner,1,10,5,0,0,1053,31.33,50.5
54,7,7,6,inner,1,10,6,0,0,1054,32.33,51.7
55,7,7,6,inner,1,10,6,0,0,1055,32.33,51.7
56,7,7,7,inner,1,10,6,0,0,1056,33.00,52.2
57,7,7,7,inner,1,10,7,0,0,1057,34.00,53.4
58,7,7,7,inner,1,10,7,0,0,1058,34.00,53.4
59,7,7,8,inner,1,10,8,0,0,1059,35.67,55.1
60,7,7,8,inner,1,10,8,0,0,1060,35.67,55.1
61,7,7,3,edge,1,10,2,1,0,1061,32.33,52.6
62,7,7,3,edge,1,10,2,1,0,1062,32.33,52.6
63,7,7,4,edge,1,10,2,1,0,1063,33.00,53.1
64,7,7,4,inner,1,10,3,1,0,1064,36.00,56.7
65,7,7,4,inner,1,10,3,1,0,1065,36.00,56.7
66,7,7,5,inner,1,10,3,1,0,1066,36.67,57.2
67,7,7,5,inner,1,10,4,1,0,1067,37.67,58.4
68,7,7,5,inner,1,10,4,1,0,1068,37.67,58.4
69,7,7,6,inner,1,10,4,1,0,1069,38.33,58.9
70,7,7,6,inner,1,10,5,1,0,1070,39.33,60.1
71,7,7,5,inner,1,10,4,1,0,1071,37.67,58.4
